d13C,d15N,group
-16.082114243169794,14.59400890118865,1
-16.126310038036127,14.830202652707882,1
-16.17795690184744,14.711644031628117,1
-16.03487755572587,14.857052381392961,1
-16.258397634995553,14.731951135908945,1
-16.244062109099996,14.884818349171983,1
-16.1864966429551,14.69518883356388,1
-16.31953592768352,14.862129992772951,1
-16.009359018912278,15.351350246339049,1
-16.26681074202974,14.96988935018972,1
-15.97537364413277,15.78846393418792,1
-15.954386052213033,15.370514104244346,1
-16.292100877981632,14.915121921851638,1
-16.303264633461847,14.480603764289976,1
-16.038986644667755,14.898430861286561,1
-16.25112186303276,14.74643769581657,1
-16.183055989254132,14.767993233432724,1
-16.05561192879118,15.192866563471952,1
-16.208276098997676,15.123920653961,1
-16.02343392643185,15.20251490089114,1
-15.885264462586322,15.789522464423474,1
-16.11367022615656,15.06090172714029,1
-16.005226295697717,14.75051169524251,1
-16.35300709776052,14.329483139209911,1
-16.125896918535396,15.392135318441587,1
-16.19741137743591,14.710356004730995,1
-16.295256279007443,14.530535877315769,1
-16.22524039074438,14.842819433173219,1
-16.305651713422677,14.506807343182034,1
-16.317607392726472,14.847594523924611,1
-16.332745028122286,14.56500990405242,1
-16.14202751201964,14.775854493908325,1
-16.14495648240338,15.060609372626228,1
-16.065543343585908,15.068982602917588,1
-16.512454099044113,14.345871332405546,1
-16.376818534959845,14.542302219630768,1
-16.03840825035182,15.14507732947721,1
-16.1996504972367,15.046613013357241,1
-15.923483069610164,14.502466383401842,1
-15.93626886940189,15.250602736925671,1
-16.250287129515268,14.654454928987205,1
-16.30061066186986,14.911497252753394,1
-16.17116283885385,14.84300848092909,1
-16.137413431175204,15.270448839328044,1
-16.08249885218888,14.853950998069976,1
-16.075741086962598,14.926705961678628,1
-16.22943587885743,14.907100421172439,1
-16.15584710506402,14.738638842159071,1
-16.21726032929458,14.678138770351039,1
-16.206045987238628,14.470060820245632,1
-16.151971396722193,14.869672046721151,1
-16.113081731205526,14.707938089507675,1
-15.904709105888152,15.048712046660642,1
-16.00014671755932,15.124021847871258,1
-16.155592297369743,14.800942197908087,1
-16.137573126732317,14.98944543959977,1
-16.133222908963873,14.513934327077054,1
-16.129063902237295,14.803261580181546,1
-16.2661179025498,14.76561950188811,1
-16.226099597815878,14.90913198541566,1
-16.279233430068814,14.136133084984627,1
-16.251646430780376,14.896830804071554,1
-16.075433106854273,14.789877156639115,1
-16.17167697119244,15.208232202787329,1
-16.210961590000803,14.191548918173144,1
-16.295298662912323,14.54749060195251,1
-16.215458235403382,14.790113009230788,1
-16.17685754506213,14.683587989335392,1
-16.151776362974456,14.844884080978366,1
-16.309743167884935,14.789807534326677,1
-16.217243412922524,14.684837662707784,1
-15.982287322992413,15.507494960033398,1
-16.00714064684328,15.052245158688969,1
-16.049992432617728,15.031963785163883,1
-16.358722760199928,14.577754076979819,1
-16.07350724723758,14.869603913914412,1
-18.85437597834501,11.84154800222922,1
-16.332348959936912,14.258066334512169,1
-16.12853907223122,14.732524831982374,1
-16.213804801163217,14.78876049053529,1
-16.027388946559622,15.042515254843133,1
-16.26912531786405,14.766738087921253,1
-16.19481402422157,14.59602484382032,1
-16.001730277205958,15.042093901400518,1
-16.055859110235815,14.955898580484776,1
-16.1730059950152,14.906403934309873,1
-16.30971745849932,14.669954206340448,1
-16.0388632621581,14.675196240436527,1
-16.35686080687313,14.84478974113111,1
-16.27844658658399,14.993963798391752,1
-16.240152745633534,14.886870535143839,1
-16.252913592630005,14.507306658516264,1
-16.58639932751946,14.25962046371706,1
-16.31008018260435,14.114448563168379,1
-16.16614730273587,14.229506971166861,1
-16.329615244960106,14.649197528314268,1
-15.907816224860001,15.04574500281042,1
-16.289750362939728,14.657024931043809,1
-16.261903293222964,14.42414008880403,1
-16.175539560833347,15.063828716219218,1
-16.0604926805252,15.038077289392717,1
-16.01796584518654,15.212852498562507,1
-16.094888027045435,14.573395452596424,1
-16.023453531954427,15.016777152653823,1
-15.963291218469566,15.809813579879986,1
-16.224412965009634,14.483811508308285,1
-16.062323383258114,14.93450410497842,1
-16.105509268605033,14.762408143945231,1
-15.93512961809405,14.172783142572753,1
-16.318629964525655,14.54273023676928,1
-16.20838807889584,14.622451550707094,1
-16.18496885606604,14.969847815385595,1
-15.99927602284103,14.88031400363947,1
-16.051823877767895,14.993548440978067,1
-16.18858838316995,14.883611745195907,1
-16.10225138928856,14.981978080365561,1
-16.17183971742399,14.570995730417755,1
-16.23345384117511,15.09859145220034,1
-16.107622444057814,14.480614996178197,1
-16.357153965787546,14.132669182106568,1
-16.260619426509333,14.825619989341993,1
-16.356497562272796,14.54703495849456,1
-15.972203225639312,15.117295116457305,1
-16.0516723319758,15.026689692957575,1
-15.986058852069478,14.61485956290144,1
-16.283678818072534,14.50323437310309,1
-16.05440369044155,15.111936446076868,1
-15.965831042526109,14.993187231858565,1
-16.062099997675197,15.13696153831548,1
-15.93791609023167,15.026223785876983,1
-15.944417390986283,15.035054620954218,1
-16.481752380074028,14.40180382809767,1
-15.979110775237277,15.087309518505426,1
-16.078778384137614,15.2286990533067,1
-16.32054245748143,14.526069241393333,1
-16.24906665535526,14.6947524926342,1
-16.140039133224793,14.843444523940581,1
-16.43964271765204,14.87496741463435,1
-15.956288898758224,15.114103346201134,1
-16.143704260165112,14.925796447844846,1
-16.1536383263375,14.760817805794549,1
-16.341810180935685,14.39989877779224,1
-16.147397085986693,14.688690145544804,1
-16.050806458965326,15.4816032174615,1
-15.837675125487799,15.411361812779777,1
-15.596756898313654,15.291602105922701,1
-16.274750693972234,14.769706277957688,1
-16.095262870677196,15.326893281990912,1
-15.878382914711173,15.19178867564366,1
-15.956779216425918,14.993926792877037,1
-16.42402084459431,14.383457775206809,1
-16.152323317967596,14.127188166517938,1
-16.065005522923524,15.008971206843697,1
-16.083461733044494,15.134593890567304,1
-16.137035977634927,15.039768107210296,1
-16.233454954021184,14.627362655426877,1
-16.145481455558173,14.977739777833682,1
-16.237647222566764,14.508387988251636,1
-16.491457469416382,14.534558455260209,1
-16.147066046876933,15.027536616135245,1
-16.527738639171822,14.858223103258975,1
-16.18513324160947,15.106173884843463,1
-16.081714889709797,14.727458289757275,1
-16.21151102492888,14.950391517547484,1
-16.164141473733252,14.420572232570166,1
-16.079668936655768,14.932739246399738,1
-16.25673933428848,14.728608553053252,1
-16.262108488376512,14.821554612196095,1
-15.940066984497992,15.000614120042949,1
-16.26744566989424,14.779705190681298,1
-16.042055027720792,15.008868106152454,1
-16.07182511574291,15.186805138107,1
-16.304725285677343,14.52233260604795,1
-16.271656153507962,14.774559744085382,1
